#OTU ID	st1_1	st1_2	st1_3	st1_4	st1_5	st1_6	st1_7	st2_1	st2_2	st2_3	st2_4	st2_5	st2_6	st2_7	st4_1	st4_2	st4_3	st4_4	st4_5	st4_6	st4_7	st5_1	st5_2	st5_3	st5_4	st5_5	st5_6	st5_7	ERR2094394	ERR2094401	ERR2094406	ERR2094408	ERR2094412	ERR2094415	ERR2094418	ERR2094423	ERR2094425	ERR2094426	ERR2094432	ERR2094436	ERR2094438	ERR2094439	ERR2094440	ERR2094441	ERR2094442	ERR2094443	ERR2094445	ERR2094446	ERR2094447	ERR2094452	ERR2094456	ERR2094458	ERR2094459	ERR2094460	ERR2094461	ERR2094462	SRR5311956	SRR5311957	SRR5311958	SRR5311959	SRR5311961	SRR5311962	SRR5311965	SRR5311968	SRR5311970	SRR5311971	SRR5311972	SRR5311977	SRR5311978	SRR5311982	SRR5311984	SRR5311986	SRR5311988	SRR5311990	SRR5311991	SRR5311992	SRR5312001	SRR5312005	SRR5312007	SRR5312008	SRR5312009	SRR5312010	SRR5312011	SRR5312013	SRR5312014	SRR5312015	SRR5312019	SRR5312021	SRR5312023	SRR5312024	SRR5312027	SRR5312029	SRR5312034
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.031257763	0.017357214	0.009068856	0.003652895	0.005787152	0.003079578	0.001131758	0.131012204	0.080248368	0.058237027	0.025948803	0.004708594	0.004072601	0.000298917	0.044117647	0.064538053	0.099844264	0.007467849	0.001210863	0.000641466	0.000506419	0.116447731	0.02861698	0.039063392	0.008690668	0.00312446	0.00620437	0.001055232	0.181755251	0.138700178	0.108726287	0.128162071	0.185847445	0.150464321	0.190900005	0.099554579	0.107293403	0.086466348	0.09662751	0.177381239	0.212550932	0.148971524	0.109452232	0.130768419	0.162656675	0.171537981	0.157573526	0.145521721	0.15123954	0.147006043	0.110818763	0.137739294	0.109943411	0.132244492	0.092728319	0.073219774	0.312860587	0.375085288	0.142432803	0.139093653	0.194677761	0.17761971	0.052081599	0.143722319	0.167448081	0.165508451	0.17003771	0.107132699	0.122546217	0.192624965	0.361701046	0.286177037	0.132445278	0.116604079	0.055910786	0.134494237	0.053562001	0.153087587	0.143919333	0.113267903	0.16218988	0.108652353	0.154656516	0.14601169	0.138861463	0.156776205	0.118822703	0.156832441	0.120316797	0.143235512	0.093490151	0.09701871	0.16475435
d__Bacteria;p__Planctomycetota;c__Planctomycetes	0.004222903	0.004979529	0.007235339	0.004906078	0.005870063	0.0062388	0.003329473	0.03959799	0.026368042	0.012066621	0.008308874	0.002830846	0.002538588	0.000773667	0.028701186	0.03969652	0.016012885	0.003175801	0.001822948	0.001387356	0.001970929	0.072005034	0.041438352	0.013167986	0.005798222	0.00370539	0.007207231	0.001672929	0.074177429	0.03551331	0.031192412	0.039217811	0.048149139	0.061339198	0.0218457	0.025336958	0.054185864	0.016143956	0.013313124	0.047841813	0.03300571	0.043048951	0.038427416	0.023812035	0.062582172	0.046394707	0.068527385	0.047216098	0.043590147	0.050210584	0.031375545	0.097727235	0.030890492	0.044699815	0.035570453	0.034354982	0.059287006	0.059570671	0.032867867	0.036138888	0.034644268	0.036063433	0.028557159	0.070711985	0.04660815	0.049430786	0.021426123	0.04291666	0.04313576	0.034470849	0.044831268	0.021242249	0.030511965	0.023385612	0.00608967	0.039393689	0.020879813	0.043813506	0.040432205	0.02462135	0.037130783	0.030505843	0.020288759	0.035299935	0.0170053	0.033063085	0.032225605	0.053566804	0.045990391	0.033266236	0.032927209	0.011370006	0.022658692
d__Bacteria;p__Spirochaetota;c__Spirochaetia	0.020438299	0.026810414	0.033087924	0.023957125	0.026597685	0.017442092	0.014804969	0.005283561	0.001935115	0.0132138	0.005198522	0.003456762	0.003095177	0.000615417	0.016868512	0.013800852	0.002875131	0.005785618	0.002262052	0.001461945	0.001012838	0.013246283	0.016920995	0.013804357	0.012209589	0.006641441	0.005027679	0.00205899	0.002487724	0.005889728	0.005365854	0.004550133	0	0.00058651	0.003617153	0.008301035	0.003333007	0.008303302	0.007224959	0.002748975	0.001577264	0.00053477	0.000760437	0.002636992	0.000679288	0.000286548	0.000710265	0.000715094	0.001080423	0.001007142	0.00243309	0.002428526	0.002440769	0.000701262	0.001000575	0.002355442	0.001313184	0.00223062	0.002058278	0	0	0.000841881	0.001242172	0.000637498	0.000645627	0.00033175	0.000371386	0.00020078	0.000211761	0.007159841	0.007305209	0.010893735	0.001783465	0.002017524	0.004681434	0.004621606	0.011802374	0.002490312	0.001157876	0.010541621	0.00121466	0.008040186	0.001199137	0.00127679	0.005391291	0.000402974	0.003938203	0	0.001300969	0.004105308	0.002134377	0	0.001156424
d__Bacteria;p__Myxococcota;c__Myxococcia	0.000276007	0.000126464	0.000239768	0.000159981	0.000198985	3.98E-05	0.00015792	0.005096913	0.003197146	0.001515409	0.001591682	0.00018493	6.79E-05	0	0.000139026	0.000638029	0.001823579	0.00017294	0.000146368	0.000193931	0.000109496	0.001337214	0.000656476	0.000734274	6.66E-05	7.85E-05	0.000173829	7.72E-05	0.004066887	0.001895209	0.000813008	0.000135421	0.00244861	0.003005865	0.000880491	0.001272633	0.000171552	0.001071394	0.00047998	0.002724861	0.000321295	0.000859451	0.001039264	0.001054797	0.000964151	0.000729395	0.003893302	0.000397275	0.000176796	0.000677532	0.000877044	0.001105398	0.000761769	0.001425146	7.50E-05	0	0.005295789	0.00456621	0.009040278	0.006673374	0.003767957	0.005618267	0.008375059	0.005452288	0.003228137	0.003334963	0.00217118	0.003480181	0.003176418	0.008820287	0.006745877	0.005548428	0.009496493	0.009262941	0.003254168	0.012874474	0.008345113	0.00589285	0.006749951	0.005258694	0.006371511	0.005316189	0.00406419	0.003453977	0.001260133	0.00296474	0.003886156	0.004302387	0.004416447	0.006038775	0.002645738	0.003096058	0.003415066
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.286274185	0.034240187	0.010549773	0.042181605	0.014840978	0.001234486	0.001605517	0.307279253	0.533603688	0.019218785	0.016340299	0.001721268	0.003787519	0.002743002	0.047083539	0.291912285	0.630532299	0.002719869	0.000705228	0.006966614	0.002135173	0.158027216	0.005519755	0.006151587	0.003199019	0.0078033	0.007595004	0.001557111	0.066562831	0.038924687	0.02902439	0.052407779	0.083252742	0.102859238	0.062990814	0.034042922	0.033109499	0.031606117	0.029809271	0.119700989	0.045974326	0.050382933	0.07700692	0.047254892	0.079652029	0.069136188	0.090729731	0.033073118	0.016893883	0.045266435	0.04232445	0.082904852	0.081540327	0.09057594	0.042124221	0.028610002	0.030074055	0.014853304	0.072128501	0.09348884	0.054870869	0.04623473	0.029837749	0.044943632	0.073002014	0.060483308	0.065192549	0.075928188	0.072358808	0.057743654	0.029102188	0.014507163	0.066070952	0.060967528	0.019677247	0.065032599	0.02425192	0.050345581	0.045479091	0.038870714	0.047175369	0.04050848	0.07956155	0.061876365	0.035764394	0.058191413	0.053070324	0.057994503	0.05575907	0.058507257	0.052714661	0.032588678	0.075727734
d__Bacteria;p__Actinobacteriota;c__Actinobacteria	0.014918164	0.007872398	0.003413162	0.001146529	0.009584453	0.00055751	0.00018424	0.031299354	0.031045972	0.00230852	0.001065989	0.000142254	0.000570164	3.52E-05	0.001204894	0.015825901	0.013670185	0.00061315	0.00017298	0.000104425	9.58E-05	0.016251082	0.001540708	0.002088602	0.000266585	0.000157008	0.00161795	0.000167293	0.054491964	0.024229524	0.029620596	0.036726071	0.111957036	0.088000978	0.019275618	0.020911668	0.063768258	0.037303984	0.012732095	0.053701471	0.08990405	0.104833935	0.075181871	0.035810348	0.074831274	0.05949776	0.102409639	0.083090003	0.119101874	0.076854056	0.060714084	0.046359723	0.061656613	0.047052436	0.077794732	0.065176802	0.013906829	0.019104603	0.016425862	0.023818813	0.033571447	0.023332131	0.008887295	0.026657496	0.032957742	0.027622573	0.017483716	0.01661452	0.018571459	0.012765505	0.017288429	0.010166774	0.031651912	0.022016052	0.004415011	0.028554923	0.009997105	0.032880105	0.025374622	0.016600024	0.02911548	0.026610234	0.022389261	0.026391923	0.017174184	0.026922523	0.01197075	0.035137551	0.019925365	0.020897341	0.008026146	0.009074652	0.011473899
d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia	0.000124203	0.000142272	0.000169248	5.33E-05	1.66E-05	5.31E-05	0	0.005312276	0.000555294	0.00723714	0.003227173	0.001607465	0.000597315	1.76E-05	0.00478868	0.005714523	0.000931756	0.002468321	0.000944739	4.48E-05	6.84E-05	0.003177849	0.00612264	0.010116668	0.006158112	0.00175849	0.001577835	0.000463273	0.000843663	0.006035513	0.005636856	0.005200152	0	0	0.010899053	0.011222306	0.006592491	0.010592189	0.0209928	0	0.003008485	0	0.000380218	0.011312694	0	0.000260498	0	0.006733806	0.001826897	0.001025453	0.0030838	0	0.002285306	0	0.003151812	0.001694769	0	0	0	0	0	0	0.003022193	0	0	0	0	0	0	0	0	0.00017105	2.76E-05	7.36E-05	5.71E-05	0	0.003014459	8.66E-05	6.23E-05	0.000484672	0	0.000234322	0	3.69E-05	0	0	0.000216861	0	0.000125532	0	0.000533594	0.000293592	0
d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia	0.002194254	0.00448948	0.021452145	0.019570985	0.017245382	0.015026216	0.010791178	0.00218234	0.001548092	0.008823363	0.009579299	0.001863522	0.000285082	0	0.003027682	0.004507816	0.000465878	0.002279659	0.001131026	0.000208849	0.00013687	0.00081806	0.002652698	0.002937097	0.002106021	0.000518127	0.00036103	0.00010295	0.000519177	0.010904744	0.014336043	0.012458697	0	0	0.015111132	0.019002719	0.007719831	0.02247492	0.044865479	0	0.004176829	0	0.000101392	0.00941406	0	0.000286548	0	0.006952307	0.003968098	0.000585973	0.003706219	0	0.002782787	0	0.00182605	0.003590613	0.001205546	0.007085498	0.000920171	0	0.020331266	0.019552257	0.043322363	0.005099987	0.001229766	0.002776226	0.000857045	0.000133853	0.000974102	0.008860137	0.003220394	0.009525337	0.005479099	0.005537147	0.032408465	0.002971032	0.038557828	0.008216697	0.008754167	0.085326548	0.006909744	0.066269295	0.002736286	0.011948692	0.019798379	0.002485008	0.022883216	5.85E-05	0.006014128	0.017242293	0.007270221	0	0.005276187
d__Bacteria;p__Chloroflexi;c__AD3	0	0	0	0	0	0	0	0.00022972	5.05E-05	0.001458758	0.000306654	0	4.07E-05	0	0.000633342	0.000402236	0.000212973	0.000157218	3.99E-05	0	0	0	1.34E-05	0.000473199	0.000466524	9.42E-05	0.00036103	9.01E-05	0.000237956	0	0	5.42E-05	0.001090557	0.000342131	0.000261768	0.000231388	0	0	0.000151573	0	0	0	0	0.000711988	0	0	0	0	0	0	0	0	0	0.000859612	0	0	8.61E-05	0	0	0.000184801	0.000209331	0.000463894	0.00078116	0	0	0	0	0	0	0.000265671	0.000118646	0	0.000174669	0.000603785	0.000114181	0	0.000425771	5.99E-05	3.63E-05	0.000169635	5.82E-05	0.000175742	0.00015291	2.95E-05	0.000259821	0.00012473	0.000320955	0	0.00017118	0.000238373	0.000466895	0.000213521	0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia	0.004057299	0.005185033	0.005556966	0.001573145	0.001011508	0.005362713	0.000500079	0.026733668	0.037541226	0.001713687	0.002015157	4.27E-05	0.000285082	0	0.000278052	0.00137315	0.005044791	9.43E-05	6.65E-05	0.000432616	0.000739098	0.002406985	0.000241154	0.000538468	4.00E-05	0	0.000187201	3.86E-05	0.007484803	0.001632796	0.000758808	0.00092086	0.019732916	0.01827957	0.000856694	0.001735408	0.002965396	0.000535697	0.000277883	0.014516518	0.001635681	0.003265914	0.000785785	0.002056854	0.004930318	0.004819214	0.007576156	0.001311006	0.000648254	0.003387658	0.003168675	0.003131961	0.001881102	0.004931457	0.00222628	0.000545773	0.003788857	0.001548313	0.004366777	0.006160038	0.007195751	0.003058262	0.001408649	0.009948329	0.015833244	0.009847744	0.00808479	0.011310589	0.013108019	0.005858052	0.003661079	0.001603592	0.006168583	0.005095354	0.001503387	0.007042447	0.001294344	0.010414031	0.008110325	0.002326427	0.007535258	0.005447995	0.007508692	0.006627502	0.002247454	0.007867594	0.003070758	0.00932323	0.011606012	0.014990995	0.005069145	0.004830918	0.009522433
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae	0.001035025	0.00104333	0.001748893	0.000559933	0.000431135	7.96E-05	0.0001974	0.000559943	0.000420677	0.000198278	2.92E-05	0	0	0	0	6.94E-05	0.000146419	0	0	2.98E-05	4.11E-05	0.000188783	5.36E-05	0.00011422	0	0	1.34E-05	0	0.008112142	0.003265592	0.004525745	0.002275066	0.003374555	0.005791789	0.002070344	0.004483138	0.003161455	0.004115126	0.003460907	0.002363154	0.003256758	0.001394221	0.001495526	0.005959601	0.005237094	0.005131812	0.003025201	0.002761059	0.001178643	0.005694928	0.001159962	0.003751654	0.003311361	0.003732525	0.00182605	0	0.005683286	0.002178135	0.006061829	0.005564567	0.007117251	0.004346855	0.004033859	0.006542746	0.00118365	0.005954044	0.00591361	0.000568876	0.000592931	0.008129541	0.003881422	0.001689117	0.006968385	0.008865327	0.001008602	0.005997084	0.001260282	0.003309318	0.005213039	0.002592996	0.005360507	0.001889224	0.002583376	0.003262089	0.002611203	0.003195011	0.00430253	0.00559728	0.000844489	0.002092383	0.001623016	0	0.001897259
d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.04631393	0.03341817	0.048771544	0.027623352	0.028869433	0.015583726	0.007606464	0.002196698	0.001245204	0.000750623	0.000978374	0.00021338	0.000135753	0	0.000370737	0.000846082	0.001583984	0.000644593	0.000212899	0.00047737	0.000369549	0.002391253	0.001045002	0.002300726	0.000253256	0.000345418	0.000735432	0.000154424	0.021048305	0.005569	0.007262873	0.009750284	0.029630239	0.049731183	0.003117415	0.011222306	0.006420939	0.008838999	0.001818871	0.048299976	0.0074774	0.028380985	0.02268637	0.007330837	0.026820931	0.038605814	0.026911138	0.005065252	0.007170078	0.01682842	0.017371131	0.013649991	0.051940178	0.043772339	0.006203567	0.007640824	0.003379833	0.001863224	0.006328194	0.010246196	0.010100217	0.007662835	0.005288837	0.003808214	0.015479686	0.015138287	0.009170381	0.021583817	0.018274993	0.00883357	0.003966169	0.00260851	0.007244178	0.007908107	0.002702291	0.004456549	0.003951156	0.005320211	0.002923248	0.003538107	0.009913665	0.003646642	0.024602434	0.008797308	0.004806693	0.015207484	0.005933328	0.012823619	0.009734443	0.009720309	0.011183245	0.006752609	0.013624126
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae	0.001545638	0.001849539	0.00308877	0.000959885	0.000613538	0.000398221	0.000276359	1.44E-05	0	1.42E-05	1.46E-05	4.27E-05	1.36E-05	1.76E-05	0	6.94E-05	0	0.000110053	1.33E-05	0.000149178	0.000191618	1.57E-05	0	3.26E-05	1.33E-05	1.57E-05	8.02E-05	1.29E-05	0	0	0	0	0	0	0	0	0	0	0	0.000361707	0	0	7.60E-05	0	0	0	0	0	0	0	0	0	4.66E-05	0	0	0	0	0	8.88E-05	0	0.000261664	0.000154631	0.00028173	0	0	5.24E-05	0	0	0.000232937	0	0	0	6.44E-05	0	0.000152242	0	0.000102185	0	0	0	0	4.39E-05	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Planctomycetota;c__Pla4_lineage	0.000358809	0.000442625	0.000676991	0.000853231	0.000779359	0.000438043	0.000552719	0.000430725	0.000201925	0.000863925	0.000963771	0.003783945	0.002362109	0.002250668	0.002718735	0.00069351	6.66E-05	0.002311103	0.002222134	0.002953725	0.001259205	0.000676473	0.001339746	0.001321694	0.004891833	0.002323719	0.003530072	0.00216194	6.49E-05	0.000174942	0.000569106	0.000297925	0	0.000268817	0.000475941	0	0	0.001582741	0.001162056	0.000120569	0	0	0	0	0	0.000104199	0.000210449	0.000377411	0.00092327	0	0.00048096	0	0.000264287	0.00015835	0	8.62E-05	0.000818049	0	0.000169505	0.000143734	0.000889656	0.000326444	0.000179283	0.000251644	0.000891581	0.000541277	0.000428522	0.000936972	0.000783517	0.000810297	0.000881371	0.001069061	0.000781415	0.000751049	0.001275025	0.000247586	0.002060732	0.000858958	0.000623072	0.000315037	0.000683701	0.001567031	0.000716263	0.000974199	0.000779464	0.000402974	0.001492006	0.000133666	0.001335205	0.000821062	0.001200587	0.000293592	0.000686627
